DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,KNN,0.97,1.0,0.966,3.5,0.966,3.5,0.96,5.0,0.95,6.0,0.968,2.0,edge_ratio,5,REC
x80data,KNN,0.932,1.0,0.912,4.0,0.922,2.0,0.9200000000000002,3.0,0.8879999999999999,6.0,0.898,5.0,edge_ratio,5,REC
x7data,KNN,0.968,4.0,0.974,1.0,0.972,2.5,0.972,2.5,0.9599999999999996,6.0,0.9640000000000001,5.0,edge_ratio,5,REC
x79data,KNN,0.944,1.0,0.9259999999999999,2.0,0.9200000000000002,4.5,0.9200000000000002,4.5,0.89,6.0,0.922,3.0,edge_ratio,5,REC
x78data,KNN,0.968,1.0,0.952,2.0,0.944,4.0,0.934,6.0,0.95,3.0,0.94,5.0,edge_ratio,5,REC
x76data,KNN,0.96,2.0,0.932,6.0,0.958,3.0,0.962,1.0,0.94,5.0,0.942,4.0,edge_ratio,5,REC
x75data,KNN,0.99,3.0,0.99,3.0,0.99,3.0,0.99,3.0,0.976,6.0,0.99,3.0,edge_ratio,5,REC
x74data,KNN,0.992,5.5,0.996,2.5,0.996,2.5,0.996,2.5,0.992,5.5,0.996,2.5,edge_ratio,5,REC
x73data,KNN,0.912,1.0,0.8959999999999999,2.0,0.884,4.0,0.866,6.0,0.8719999999999999,5.0,0.8939999999999999,3.0,edge_ratio,5,REC
x72data,KNN,0.934,3.5,0.938,2.0,0.934,3.5,0.9399999999999998,1.0,0.914,6.0,0.9279999999999999,5.0,edge_ratio,5,REC
x71data,KNN,0.92,6.0,0.9479999999999998,2.5,0.9479999999999998,2.5,0.944,4.0,0.934,5.0,0.9640000000000001,1.0,edge_ratio,5,REC
x70data,KNN,0.76,1.0,0.7120000000000001,4.0,0.7340000000000001,2.0,0.7020000000000001,5.0,0.716,3.0,0.7,6.0,edge_ratio,5,REC
x69data,KNN,0.74,1.0,0.6859999999999999,6.0,0.6940000000000001,4.0,0.6980000000000001,2.5,0.698,2.5,0.6920000000000001,5.0,edge_ratio,5,REC
x68data,KNN,0.922,2.0,0.9179999999999999,4.0,0.914,5.0,0.92,3.0,0.91,6.0,0.924,1.0,edge_ratio,5,REC
x66data,KNN,0.7539999999999999,1.0,0.696,4.0,0.6940000000000001,5.5,0.6980000000000001,3.0,0.6940000000000001,5.5,0.7339999999999999,2.0,edge_ratio,5,REC
